date,hour,average_speed_kph
2024-08-17,02:00,31.29
2024-08-17,03:00,26.99
2024-08-17,04:00,47.42
2024-08-17,05:00,33.96
2024-08-17,06:00,29.48
2024-08-17,07:00,16.3
2024-08-17,08:00,27.19
2024-08-17,09:00,22.99
2024-08-17,10:00,22.9
2024-08-17,11:00,17.35
2024-08-17,12:00,17.94
2024-08-17,13:00,17.09
2024-08-17,14:00,17.95
2024-08-17,15:00,16.9
2024-08-17,16:00,17.34
2024-08-17,17:00,18.54
2024-08-17,18:00,16.38
2024-08-17,19:00,14.73
2024-08-17,20:00,15.89
2024-08-17,21:00,13.85
2024-08-17,22:00,20.4
2024-08-17,23:00,23.02
2024-08-18,00:00,26.41
2024-08-18,01:00,28.5
2024-08-18,02:00,24.01
2024-08-18,03:00,35.31
2024-08-18,04:00,38.25
2024-08-18,05:00,30.98
2024-08-18,06:00,39.74
2024-08-18,07:00,23.58
2024-08-18,08:00,28.68
2024-08-18,09:00,27.69
2024-08-18,10:00,21.52
2024-08-18,11:00,19.11
2024-08-18,12:00,16.69
2024-08-18,13:00,4.53
2024-08-18,14:00,7.35
2024-08-18,15:00,18.9
2024-08-18,16:00,16.9
2024-08-18,17:00,23.16
2024-08-18,18:00,8.81
2024-08-18,19:00,12.66
2024-08-18,20:00,13.12
2024-08-18,21:00,14.38
2024-08-18,22:00,20.91
2024-08-18,23:00,20.2
2024-08-19,00:00,21.09
2024-08-19,01:00,31.85
2024-08-19,02:00,34.29
2024-08-19,03:00,33.02
2024-08-19,04:00,33.4
2024-08-19,05:00,12.35
2024-08-19,06:00,32.25
2024-08-19,07:00,25.35
2024-08-19,08:00,25.06
2024-08-19,09:00,22.08
2024-08-19,10:00,17.7
2024-08-19,11:00,13.88
2024-08-19,12:00,13.16
2024-08-19,13:00,4.59
2024-08-19,14:00,8.56
2024-08-19,15:00,12.52
2024-08-19,16:00,12.61
2024-08-19,17:00,15.32
2024-08-19,18:00,13.26
2024-08-19,19:00,15.56
2024-08-19,20:00,17.06
2024-08-19,21:00,15.2
2024-08-19,22:00,21.54
2024-08-19,23:00,20.81
2024-08-20,00:00,28.81
2024-08-20,01:00,25.31
2024-08-20,02:00,37.09
2024-08-20,03:00,20.11
2024-08-20,04:00,39.81
2024-08-20,05:00,36.09
2024-08-20,06:00,28.83
2024-08-20,07:00,31.5
2024-08-20,08:00,25.42
2024-08-20,09:00,15.01
2024-08-20,10:00,18.45
2024-08-20,11:00,17.35
2024-08-20,12:00,12.32
2024-08-20,13:00,14.78
2024-08-20,14:00,12.21
2024-08-20,15:00,14.65
2024-08-20,16:00,14.71
2024-08-20,17:00,14.56
2024-08-20,18:00,12.64
2024-08-20,19:00,15.48
2024-08-20,20:00,13.24
2024-08-20,21:00,17.31
2024-08-20,22:00,24.81
2024-08-20,23:00,24.76
2024-08-21,00:00,28.78
2024-08-21,01:00,27.35
2024-08-21,02:00,36.81
2024-08-21,03:00,34.42
2024-08-21,04:00,32.11
2024-08-21,05:00,36.0
2024-08-21,06:00,27.84
2024-08-21,07:00,30.9
2024-08-21,08:00,24.42
2024-08-21,09:00,23.25
2024-08-21,10:00,21.0
2024-08-21,11:00,15.92
2024-08-21,12:00,15.64
2024-08-21,13:00,15.66
2024-08-21,14:00,8.04
2024-08-21,15:00,15.35
2024-08-21,16:00,19.49
2024-08-21,17:00,20.59
2024-08-21,18:00,14.35
2024-08-21,19:00,15.41
2024-08-21,20:00,14.68
2024-08-21,21:00,17.65
2024-08-21,22:00,21.99
2024-08-21,23:00,23.02
2024-08-22,00:00,26.71
2024-08-22,01:00,29.89
2024-08-22,02:00,12.82
2024-08-22,03:00,29.96
2024-08-22,04:00,32.41
2024-08-22,05:00,32.11
2024-08-22,06:00,23.92
2024-08-22,07:00,27.89
2024-08-22,08:00,20.49
2024-08-22,09:00,23.48
2024-08-22,10:00,20.14
2024-08-22,11:00,17.44
2024-08-22,12:00,9.44
2024-08-22,13:00,11.05
2024-08-22,14:00,8.22
2024-08-22,15:00,16.94
2024-08-22,16:00,19.8
2024-08-22,17:00,13.65
2024-08-22,18:00,16.0
2024-08-22,19:00,14.76
2024-08-22,20:00,18.19
2024-08-22,21:00,19.16
2024-08-22,22:00,21.8
2024-08-22,23:00,23.38
2024-08-23,00:00,30.17
2024-08-23,01:00,32.46
2024-08-23,02:00,21.89
2024-08-23,03:00,36.61
2024-08-23,04:00,43.6
2024-08-23,05:00,53.0
2024-08-23,06:00,23.02
2024-08-23,07:00,29.09
2024-08-23,08:00,25.88
2024-08-23,09:00,24.59
2024-08-23,10:00,19.38
2024-08-23,11:00,19.7
2024-08-23,12:00,18.36
2024-08-23,13:00,20.59
2024-08-23,14:00,18.8
2024-08-23,15:00,17.08
2024-08-23,16:00,19.15
2024-08-23,17:00,21.4
2024-08-23,18:00,18.08
2024-08-23,19:00,17.59
2024-08-23,20:00,15.84
2024-08-23,21:00,15.1
2024-08-23,22:00,19.62
2024-08-23,23:00,25.04
2024-08-24,00:00,27.9
2024-08-24,01:00,28.35
2024-08-24,02:00,37.4
2024-08-24,03:00,9.66
2024-08-24,04:00,37.64
2024-08-24,05:00,31.86
2024-08-24,06:00,24.9
2024-08-24,07:00,33.04
2024-08-24,08:00,26.95
2024-08-24,09:00,22.54
2024-08-24,10:00,22.26
2024-08-24,11:00,19.44
2024-08-24,12:00,14.7
2024-08-24,13:00,14.95
2024-08-24,14:00,11.44
2024-08-24,15:00,18.88
2024-08-24,16:00,17.3
2024-08-24,17:00,19.61
2024-08-24,18:00,14.14
2024-08-24,19:00,14.14
2024-08-24,20:00,14.12
2024-08-24,21:00,12.08
2024-08-24,22:00,17.05
2024-08-24,23:00,18.21
2024-08-25,00:00,27.17
2024-08-25,01:00,29.1
2024-08-25,02:00,35.09
2024-08-25,03:00,28.6
2024-08-25,04:00,33.61
2024-08-25,05:00,33.64
2024-08-25,06:00,32.06
2024-08-25,07:00,24.01
2024-08-25,08:00,30.64
2024-08-25,09:00,25.55
2024-08-25,10:00,23.92
2024-08-25,11:00,21.95
2024-08-25,12:00,18.14
2024-08-25,13:00,21.88
2024-08-25,14:00,18.49
2024-08-25,15:00,21.58
2024-08-25,16:00,21.83
2024-08-25,17:00,19.64
2024-08-25,18:00,14.48
2024-08-25,19:00,12.74
2024-08-25,20:00,14.89
2024-08-25,21:00,13.45
2024-08-25,22:00,18.19
2024-08-25,23:00,20.84
2024-08-26,00:00,23.66
2024-08-26,01:00,31.3
2024-08-26,02:00,41.31
2024-08-26,03:00,41.9
2024-08-26,04:00,36.92
2024-08-26,05:00,34.44
2024-08-26,06:00,31.55
2024-08-26,07:00,23.05
2024-08-26,08:00,22.54
2024-08-26,09:00,21.66
2024-08-26,10:00,16.1
2024-08-26,11:00,15.95
2024-08-26,12:00,14.0
2024-08-26,13:00,11.72
2024-08-26,14:00,9.16
2024-08-26,15:00,16.1
2024-08-26,16:00,18.66
2024-08-26,17:00,16.79
2024-08-26,18:00,17.89
2024-08-26,19:00,13.68
2024-08-26,20:00,15.05
2024-08-26,21:00,19.82
2024-08-26,22:00,22.11
2024-08-26,23:00,23.5
2024-08-27,00:00,27.32
2024-08-27,01:00,29.04
2024-08-27,02:00,26.22
2024-08-27,03:00,33.61
2024-08-27,04:00,38.2
