date,hour,average_speed_kph
2024-08-16,10:00,17.23
2024-08-16,11:00,13.82
2024-08-16,12:00,10.54
2024-08-16,13:00,16.03
2024-08-16,14:00,9.04
2024-08-16,15:00,16.57
2024-08-16,16:00,16.08
2024-08-16,17:00,9.67
2024-08-16,18:00,17.18
2024-08-16,19:00,12.45
2024-08-16,20:00,17.35
2024-08-16,21:00,10.66
2024-08-16,22:00,14.98
2024-08-16,23:00,20.25
2024-08-17,00:00,17.22
2024-08-17,01:00,21.45
2024-08-17,02:00,28.23
2024-08-17,03:00,8.45
2024-08-17,04:00,52.1
2024-08-17,05:00,27.77
2024-08-17,06:00,34.55
2024-08-17,07:00,29.6
2024-08-17,08:00,33.5
2024-08-17,09:00,18.7
2024-08-17,10:00,11.6
2024-08-17,11:00,14.18
2024-08-17,12:00,7.72
2024-08-17,13:00,14.58
2024-08-17,14:00,13.23
2024-08-17,15:00,18.78
2024-08-17,16:00,19.95
2024-08-17,17:00,20.65
2024-08-17,18:00,18.13
2024-08-17,19:00,12.8
2024-08-17,20:00,11.55
2024-08-17,21:00,9.6
2024-08-17,22:00,16.05
2024-08-17,23:00,18.55
2024-08-18,00:00,20.1
2024-08-18,01:00,21.82
2024-08-18,02:00,33.8
2024-08-18,03:00,41.6
2024-08-18,04:00,42.7
2024-08-18,05:00,19.38
2024-08-18,06:00,43.0
2024-08-18,07:00,24.0
2024-08-18,08:00,26.92
2024-08-18,09:00,23.8
2024-08-18,10:00,24.45
2024-08-18,11:00,15.35
2024-08-18,12:00,13.33
2024-08-18,13:00,9.0
2024-08-18,14:00,13.72
2024-08-18,15:00,14.3
2024-08-18,16:00,13.87
2024-08-18,17:00,26.5
2024-08-18,18:00,13.35
2024-08-18,19:00,11.88
2024-08-18,20:00,13.54
2024-08-18,21:00,9.84
2024-08-18,22:00,17.02
2024-08-18,23:00,19.15
2024-08-19,00:00,23.25
2024-08-19,01:00,25.46
2024-08-19,02:00,30.85
2024-08-19,03:00,39.7
2024-08-19,04:00,40.75
2024-08-19,05:00,24.45
2024-08-19,06:00,34.45
2024-08-19,07:00,31.65
2024-08-19,08:00,23.02
2024-08-19,09:00,19.25
2024-08-19,10:00,4.52
2024-08-19,11:00,5.28
2024-08-19,12:00,9.48
2024-08-19,13:00,7.05
2024-08-19,14:00,7.58
2024-08-19,15:00,8.78
2024-08-19,16:00,17.44
2024-08-19,17:00,12.8
2024-08-19,18:00,11.08
2024-08-19,19:00,11.57
2024-08-19,20:00,15.0
2024-08-19,21:00,19.95
2024-08-19,22:00,16.12
2024-08-19,23:00,21.75
