segmentId,newSegmentId,streetName,frc,distance_m,speedLimit,latitude,longitude,harmonicAverageSpeed,medianSpeed,averageSpeed,sampleSize,dateRangeId,timeSetId
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,13.3,14.0,17.1,1201,1,23
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,17.7,22.0,22.7,1294,1,24
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,25.7,31.0,30.7,1118,1,25
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,22.8,30.0,30.3,1089,1,2
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,24.1,32.0,32.7,671,1,3
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,16.7,38.0,37.1,381,1,4
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,26.7,40.0,38.7,219,1,5
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,18.9,42.0,42.5,119,1,6
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,27.6,41.0,39.9,140,1,7
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,28.5,38.0,38.1,138,1,8
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,22.7,34.0,33.5,243,1,9
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,21.8,29.0,29.2,377,1,10
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,18.2,26.0,26.2,637,1,11
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,14.3,22.0,23.1,899,1,12
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,14.2,18.0,20.2,1073,1,13
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,13.2,19.0,20.2,1144,1,14
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,14.6,20.0,21.9,1221,1,15
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,14.9,20.0,22.0,1271,1,16
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,17.1,22.0,23.2,1265,1,17
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,15.5,21.0,22.7,1343,1,18
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,15.3,21.0,22.6,1355,1,19
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,13.9,17.0,19.6,1366,1,20
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,14.3,18.0,20.6,1522,1,21
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,13.9,18.0,20.8,1581,1,22
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,16.2,20.0,22.5,1576,1,23
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,16.3,24.0,24.5,1428,1,24
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,6.27,60,33.789305,-7.16018,19.5,27.0,26.9,1167,1,25
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,23.7,34.0,36.9,145,1,2
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,34.1,37.0,38.2,88,1,3
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,30.4,39.0,38.7,53,1,4
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,36.1,46.0,45.6,24,1,5
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,33.8,41.0,49.4,16,1,6
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,35.8,38.0,39.6,20,1,7
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,24.9,36.0,37.6,29,1,8
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,22.6,37.0,37.0,71,1,9
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,20.0,30.0,31.7,94,1,10
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,17.9,29.0,28.3,168,1,11
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,17.0,27.0,27.2,236,1,12
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,10.4,20.0,21.6,336,1,13
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,8.6,21.0,21.4,384,1,14
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,8.6,21.0,20.8,415,1,15
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,12.6,24.0,23.8,410,1,16
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,12.7,25.0,25.0,406,1,17
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,16.4,27.0,26.6,407,1,18
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,15.5,26.0,25.4,460,1,19
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,10.4,21.0,21.6,556,1,20
